#{"t_start": 1686537962.0097654, "env_id": null}
r,l,t
0.84,16,3889.329751
-2.59,29,3900.939021
0.17,3,3902.280095
-4.65,35,3916.129563
-8.44,14,3921.777385
0.54,6,3924.120999
1.11,29,3935.833951
0.16,4,3937.453984
0.09,1,3937.874562
1.41,39,3953.508613
0.09,1,3953.943415
0.09,1,3954.371816
0.08,2,3955.246338
0.18,2,3956.042523
-0.01,1,3956.46294
0.09,1,3956.897511
0.09,1,3957.318075
0.08,2,3958.196695
0.08,2,3959.072212
0.43,7,3962.236975
0.34,16,3968.498569
0.07,3,3969.711377
0.65,15,3975.72472
0.17,3,3976.978008
0.18,2,3977.838275
-1.28,48,3996.614408
0.67,13,4001.829646
-27.5,30,4013.830923
0.82,18,4020.946932
-4.05,25,4030.92001
-5.43,23,4039.999993
-1.64,14,4045.563487
0.48,12,4050.159836
0.32,8,4053.274625
-7.23,23,4062.230047
0.75,15,4068.363972
0.08,2,4069.165242
0.5,10,4073.204017
0.37,13,4078.358886
0.33,7,4081.166219
0.08,2,4082.014531
-12.64,44,4099.284977
0.59,11,4103.613345
0.67,13,4108.865258
0.15,5,4110.942832
0.68,22,4119.678309
0.23,7,4122.502619
0.6,10,4126.623519
-5.3,30,4138.438938
1.52,28,4149.38925
-0.01,1,4149.805935
0.09,1,4150.293875
-4.93,23,4160.239733
-14.44,24,4170.40835
0.13,7,4173.369714
0.08,2,4174.203878
0.75,15,4180.595034
0.41,9,4184.518086
0.41,9,4188.374494
0.49,11,4193.232006
-10.91,31,4205.783826
-9.77,27,4216.625713
-0.03,3,4217.982837
0.29,11,4222.297206
0.42,8,4225.472841
0.59,11,4229.84541
-0.45,15,4235.650998
1.08,22,4244.085234
0.08,2,4244.959447
-12.99,19,4252.536122
-8.04,24,4261.930207
1.11,19,4269.242297
0.22,8,4272.419466
0.25,5,4274.340235
0.18,2,4275.126017
0.53,7,4278.037778
-17.11,41,4293.922321
0.3,10,4297.911106
1.25,25,4307.52797
-2.12,22,4315.96627
0.17,3,4317.088011
0.56,14,4322.672044
0.2,10,4326.727593
0.83,17,4333.489971
0.58,12,4338.35752
-0.01,1,4338.726877
1.42,28,4349.502187
-0.02,2,4350.296497
0.12,8,4353.363364
0.24,6,4355.779712
0.49,11,4360.222267
0.33,7,4363.272503
0.0,10,4367.441864
0.49,11,4372.053787
-38.88,48,4391.179717
0.26,4,4392.964716
2.44,46,4411.972437
0.16,4,4413.600278
-0.01,1,4414.048861
0.24,6,4416.415501
0.15,5,4418.620281
0.63,7,4421.469972
0.67,23,4430.892575
-0.01,1,4431.314306
0.36,14,4436.961234
0.35,15,4442.847644
-0.02,2,4443.70786
0.08,2,4444.44127
0.34,6,4446.924896
0.4,10,4450.900122
0.38,12,4455.679812
0.49,11,4460.183789
0.45,15,4466.18437
0.14,6,4468.521934
-0.06,6,4471.561111
